    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00  -0.14211E-13   0.00000E+00  -0.51699E-25  -0.14211E-13           NaN
   0.10000E+01   0.25819E-04   0.25761E-04   0.15710E-12   0.51580E-04   0.71819E-02
   0.20000E+01   0.10263E-03   0.10240E-03   0.62463E-12   0.20503E-03   0.14319E-01
   0.30000E+01   0.22929E-03   0.22876E-03   0.14010E-11   0.45805E-03   0.21402E-01
   0.40000E+01   0.40445E-03   0.40350E-03   0.24795E-11   0.80795E-03   0.28424E-01
   0.50000E+01   0.62666E-03   0.62517E-03   0.38516E-11   0.12518E-02   0.35381E-01
   0.60000E+01   0.89446E-03   0.89229E-03   0.55067E-11   0.17867E-02   0.42270E-01
   0.70000E+01   0.12065E-02   0.12035E-02   0.74376E-11   0.24100E-02   0.49092E-01
   0.80000E+01   0.15617E-02   0.15578E-02   0.96332E-11   0.31195E-02   0.55852E-01
   0.90000E+01   0.19593E-02   0.19543E-02   0.12093E-10   0.39136E-02   0.62559E-01
   0.10000E+02   0.23988E-02   0.23925E-02   0.14809E-10   0.47913E-02   0.69219E-01
   0.11000E+02   0.28799E-02   0.28723E-02   0.17777E-10   0.57522E-02   0.75843E-01
   0.12000E+02   0.34023E-02   0.33932E-02   0.20988E-10   0.67955E-02   0.82435E-01
   0.13000E+02   0.39656E-02   0.39550E-02   0.24431E-10   0.79206E-02   0.88998E-01
   0.14000E+02   0.45692E-02   0.45568E-02   0.28090E-10   0.91260E-02   0.95530E-01
   0.15000E+02   0.52119E-02   0.51977E-02   0.31944E-10   0.10410E-01   0.10203E+00
   0.16000E+02   0.58924E-02   0.58764E-02   0.35974E-10   0.11769E-01   0.10848E+00
   0.17000E+02   0.66092E-02   0.65912E-02   0.40156E-10   0.13200E-01   0.11489E+00
   0.18000E+02   0.73603E-02   0.73402E-02   0.44471E-10   0.14700E-01   0.12125E+00
   0.19000E+02   0.81436E-02   0.81213E-02   0.48894E-10   0.16265E-01   0.12753E+00
   0.20000E+02   0.89567E-02   0.89322E-02   0.53404E-10   0.17889E-01   0.13375E+00
   0.21000E+02   0.97971E-02   0.97702E-02   0.57971E-10   0.19567E-01   0.13988E+00
   0.22000E+02   0.10662E-01   0.10633E-01   0.62580E-10   0.21295E-01   0.14593E+00
   0.23000E+02   0.11548E-01   0.11517E-01   0.67211E-10   0.23065E-01   0.15187E+00
   0.24000E+02   0.12454E-01   0.12419E-01   0.71843E-10   0.24873E-01   0.15771E+00
   0.25000E+02   0.13374E-01   0.13337E-01   0.76453E-10   0.26711E-01   0.16344E+00
   0.26000E+02   0.14307E-01   0.14267E-01   0.81037E-10   0.28574E-01   0.16904E+00
   0.27000E+02   0.15248E-01   0.15206E-01   0.85576E-10   0.30454E-01   0.17451E+00
