    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00   0.11629E-13  -0.51607E-14   0.21720E-15  -0.31639E-13           NaN
   0.10000E+01   0.47109E-05   0.47628E-05   0.50518E-05   0.14525E-04   0.38112E-02
   0.20000E+01   0.18837E-04   0.19045E-04   0.20198E-04   0.58080E-04   0.76211E-02
   0.30000E+01   0.42360E-04   0.42827E-04   0.45413E-04   0.13060E-03   0.11428E-01
   0.40000E+01   0.75247E-04   0.76077E-04   0.80650E-04   0.23197E-03   0.15231E-01
   0.50000E+01   0.11745E-03   0.11875E-03   0.12585E-03   0.36205E-03   0.19028E-01
   0.60000E+01   0.16892E-03   0.17079E-03   0.18092E-03   0.52063E-03   0.22817E-01
   0.70000E+01   0.22958E-03   0.23212E-03   0.24577E-03   0.70747E-03   0.26598E-01
   0.80000E+01   0.29935E-03   0.30267E-03   0.32029E-03   0.92231E-03   0.30370E-01
   0.90000E+01   0.37813E-03   0.38234E-03   0.40435E-03   0.11648E-02   0.34129E-01
   0.10000E+02   0.46583E-03   0.47102E-03   0.49780E-03   0.14346E-02   0.37877E-01
   0.11000E+02   0.56232E-03   0.56860E-03   0.60047E-03   0.17314E-02   0.41610E-01
   0.12000E+02   0.66748E-03   0.67496E-03   0.71221E-03   0.20546E-02   0.45328E-01
   0.13000E+02   0.78118E-03   0.78996E-03   0.83281E-03   0.24039E-02   0.49030E-01
   0.14000E+02   0.90327E-03   0.91345E-03   0.96209E-03   0.27788E-02   0.52714E-01
   0.15000E+02   0.10336E-02   0.10453E-02   0.10998E-02   0.31787E-02   0.56380E-01
   0.16000E+02   0.11720E-02   0.11853E-02   0.12458E-02   0.36032E-02   0.60026E-01
   0.17000E+02   0.13183E-02   0.13334E-02   0.13999E-02   0.40516E-02   0.63652E-01
   0.18000E+02   0.14724E-02   0.14893E-02   0.15617E-02   0.45233E-02   0.67256E-01
   0.19000E+02   0.16341E-02   0.16528E-02   0.17310E-02   0.50179E-02   0.70837E-01
   0.20000E+02   0.18031E-02   0.18239E-02   0.19077E-02   0.55346E-02   0.74395E-01
   0.21000E+02   0.19793E-02   0.20022E-02   0.20914E-02   0.60729E-02   0.77929E-01
   0.22000E+02   0.21625E-02   0.21877E-02   0.22819E-02   0.66320E-02   0.81437E-01
   0.23000E+02   0.23525E-02   0.23800E-02   0.24789E-02   0.72115E-02   0.84920E-01
   0.24000E+02   0.25491E-02   0.25791E-02   0.26823E-02   0.78105E-02   0.88377E-01
   0.25000E+02   0.27521E-02   0.27847E-02   0.28916E-02   0.84284E-02   0.91806E-01
   0.26000E+02   0.29613E-02   0.29965E-02   0.31067E-02   0.90646E-02   0.95208E-01
   0.27000E+02   0.31765E-02   0.32145E-02   0.33273E-02   0.97183E-02   0.98582E-01
   0.28000E+02   0.33975E-02   0.34384E-02   0.35532E-02   0.10389E-01   0.10193E+00
   0.29000E+02   0.36240E-02   0.36679E-02   0.37840E-02   0.11076E-01   0.10524E+00
   0.30000E+02   0.38559E-02   0.39030E-02   0.40196E-02   0.11778E-01   0.10853E+00
   0.31000E+02   0.40930E-02   0.41432E-02   0.42596E-02   0.12496E-01   0.11178E+00
   0.32000E+02   0.43350E-02   0.43886E-02   0.45039E-02   0.13227E-01   0.11501E+00
   0.33000E+02   0.45818E-02   0.46388E-02   0.47521E-02   0.13973E-01   0.11821E+00
   0.34000E+02   0.48331E-02   0.48936E-02   0.50041E-02   0.14731E-01   0.12137E+00
   0.35000E+02   0.50887E-02   0.51529E-02   0.52595E-02   0.15501E-01   0.12450E+00
   0.36000E+02   0.53484E-02   0.54163E-02   0.55182E-02   0.16283E-01   0.12760E+00
   0.37000E+02   0.56120E-02   0.56839E-02   0.57800E-02   0.17076E-01   0.13067E+00
   0.38000E+02   0.58794E-02   0.59552E-02   0.60446E-02   0.17879E-01   0.13371E+00
   0.39000E+02   0.61502E-02   0.62301E-02   0.63117E-02   0.18692E-01   0.13672E+00
   0.40000E+02   0.64243E-02   0.65084E-02   0.65813E-02   0.19514E-01   0.13969E+00
   0.41000E+02   0.67016E-02   0.67900E-02   0.68530E-02   0.20345E-01   0.14263E+00
   0.42000E+02   0.69817E-02   0.70745E-02   0.71267E-02   0.21183E-01   0.14554E+00
   0.43000E+02   0.72645E-02   0.73618E-02   0.74021E-02   0.22028E-01   0.14842E+00
   0.44000E+02   0.75498E-02   0.76518E-02   0.76791E-02   0.22881E-01   0.15126E+00
   0.45000E+02   0.78374E-02   0.79441E-02   0.79575E-02   0.23739E-01   0.15407E+00
   0.46000E+02   0.81271E-02   0.82387E-02   0.82371E-02   0.24603E-01   0.15685E+00
   0.47000E+02   0.84187E-02   0.85352E-02   0.85178E-02   0.25472E-01   0.15960E+00
   0.48000E+02   0.87120E-02   0.88337E-02   0.87993E-02   0.26345E-01   0.16231E+00
   0.49000E+02   0.90069E-02   0.91337E-02   0.90814E-02   0.27222E-01   0.16499E+00
   0.50000E+02   0.93030E-02   0.94352E-02   0.93641E-02   0.28102E-01   0.16764E+00
   0.51000E+02   0.96004E-02   0.97379E-02   0.96471E-02   0.28985E-01   0.17025E+00
   0.52000E+02   0.98987E-02   0.10042E-01   0.99304E-02   0.29871E-01   0.17283E+00
   0.53000E+02   0.10198E-01   0.10346E-01   0.10214E-01   0.30758E-01   0.17538E+00
   0.54000E+02   0.10497E-01   0.10652E-01   0.10497E-01   0.31646E-01   0.17789E+00
   0.55000E+02   0.10797E-01   0.10958E-01   0.10780E-01   0.32535E-01   0.18037E+00
   0.56000E+02   0.11098E-01   0.11264E-01   0.11062E-01   0.33424E-01   0.18282E+00
   0.57000E+02   0.11398E-01   0.11570E-01   0.11344E-01   0.34313E-01   0.18524E+00
   0.58000E+02   0.11698E-01   0.11877E-01   0.11626E-01   0.35201E-01   0.18762E+00
   0.59000E+02   0.11998E-01   0.12183E-01   0.11907E-01   0.36088E-01   0.18997E+00
   0.60000E+02   0.12298E-01   0.12489E-01   0.12186E-01   0.36973E-01   0.19228E+00
