    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00  -0.71054E-14  -0.11369E-12   0.88818E-15  -0.22737E-12           NaN
   0.10000E+01   0.20474E-04   0.60725E-04   0.44338E-05   0.85633E-04   0.92538E-02
   0.20000E+01   0.81837E-04   0.24306E-03   0.17669E-04   0.34256E-03   0.18508E-01
   0.30000E+01   0.18390E-03   0.54709E-03   0.39563E-04   0.77055E-03   0.27759E-01
   0.40000E+01   0.32633E-03   0.97271E-03   0.69923E-04   0.13690E-02   0.37000E-01
   0.50000E+01   0.50869E-03   0.15196E-02   0.10851E-03   0.21368E-02   0.46226E-01
   0.60000E+01   0.73041E-03   0.21874E-02   0.15503E-03   0.30728E-02   0.55433E-01
   0.70000E+01   0.99080E-03   0.29753E-02   0.20918E-03   0.41752E-02   0.64616E-01
   0.80000E+01   0.12891E-02   0.38825E-02   0.27060E-03   0.54422E-02   0.73771E-01
   0.90000E+01   0.16244E-02   0.49080E-02   0.33892E-03   0.68713E-02   0.82893E-01
   0.10000E+02   0.19958E-02   0.60507E-02   0.41376E-03   0.84602E-02   0.91979E-01
   0.11000E+02   0.24022E-02   0.73092E-02   0.49473E-03   0.10206E-01   0.10103E+00
   0.12000E+02   0.28425E-02   0.86821E-02   0.58143E-03   0.12106E-01   0.11003E+00
   0.13000E+02   0.33157E-02   0.10168E-01   0.67346E-03   0.14157E-01   0.11898E+00
   0.14000E+02   0.38206E-02   0.11765E-01   0.77043E-03   0.16356E-01   0.12789E+00
   0.15000E+02   0.43559E-02   0.13471E-01   0.87195E-03   0.18699E-01   0.13674E+00
   0.16000E+02   0.49205E-02   0.15285E-01   0.97763E-03   0.21183E-01   0.14554E+00
   0.17000E+02   0.55132E-02   0.17205E-01   0.10871E-02   0.23805E-01   0.15429E+00
   0.18000E+02   0.61328E-02   0.19228E-01   0.12000E-02   0.26561E-01   0.16297E+00
   0.19000E+02   0.67780E-02   0.21353E-01   0.13161E-02   0.29447E-01   0.17160E+00
   0.20000E+02   0.74479E-02   0.23578E-01   0.14349E-02   0.32461E-01   0.18017E+00
   0.21000E+02   0.81413E-02   0.25900E-01   0.15563E-02   0.35598E-01   0.18867E+00
   0.22000E+02   0.88572E-02   0.28319E-01   0.16798E-02   0.38856E-01   0.19712E+00
   0.23000E+02   0.95946E-02   0.30830E-01   0.18053E-02   0.42230E-01   0.20550E+00
   0.24000E+02   0.10353E-01   0.33433E-01   0.19325E-02   0.45719E-01   0.21382E+00
