    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00   0.16518E-14   0.73607E-14  -0.38098E-14   0.16867E-13   0.12987E-06
   0.10000E+01   0.46560E-04   0.46788E-04   0.41722E-04   0.13507E-03   0.11622E-01
   0.20000E+01   0.18591E-03   0.18681E-03   0.16653E-03   0.53925E-03   0.23222E-01
   0.30000E+01   0.41703E-03   0.41907E-03   0.37333E-03   0.12094E-02   0.34777E-01
   0.40000E+01   0.73827E-03   0.74189E-03   0.66034E-03   0.21405E-02   0.46266E-01
   0.50000E+01   0.11473E-02   0.11529E-02   0.10251E-02   0.33253E-02   0.57666E-01
   0.60000E+01   0.16413E-02   0.16493E-02   0.14644E-02   0.47550E-02   0.68956E-01
   0.70000E+01   0.22167E-02   0.22276E-02   0.19744E-02   0.64186E-02   0.80116E-01
   0.80000E+01   0.28695E-02   0.28836E-02   0.25509E-02   0.83039E-02   0.91126E-01
   0.90000E+01   0.35952E-02   0.36129E-02   0.31888E-02   0.10397E-01   0.10197E+00
   0.10000E+02   0.43890E-02   0.44107E-02   0.38827E-02   0.12682E-01   0.11262E+00
   0.11000E+02   0.52456E-02   0.52716E-02   0.46269E-02   0.15144E-01   0.12306E+00
   0.12000E+02   0.61594E-02   0.61900E-02   0.54150E-02   0.17764E-01   0.13328E+00
   0.13000E+02   0.71247E-02   0.71602E-02   0.62405E-02   0.20525E-01   0.14327E+00
   0.14000E+02   0.81356E-02   0.81761E-02   0.70965E-02   0.23408E-01   0.15300E+00
   0.15000E+02   0.91860E-02   0.92319E-02   0.79762E-02   0.26394E-01   0.16246E+00
   0.16000E+02   0.10270E-01   0.10321E-01   0.88723E-02   0.29464E-01   0.17165E+00
   0.17000E+02   0.11381E-01   0.11438E-01   0.97777E-02   0.32598E-01   0.18055E+00
   0.18000E+02   0.12514E-01   0.12577E-01   0.10685E-01   0.35777E-01   0.18915E+00
   0.19000E+02   0.13663E-01   0.13732E-01   0.11588E-01   0.38984E-01   0.19744E+00
   0.20000E+02   0.14823E-01   0.14898E-01   0.12479E-01   0.42199E-01   0.20542E+00
   0.21000E+02   0.15988E-01   0.16069E-01   0.13351E-01   0.45407E-01   0.21309E+00
   0.22000E+02   0.17153E-01   0.17240E-01   0.14198E-01   0.48591E-01   0.22043E+00
   0.23000E+02   0.18314E-01   0.18407E-01   0.15014E-01   0.51735E-01   0.22745E+00
   0.24000E+02   0.19467E-01   0.19566E-01   0.15793E-01   0.54826E-01   0.23415E+00
   0.25000E+02   0.20608E-01   0.20714E-01   0.16530E-01   0.57851E-01   0.24052E+00
   0.26000E+02   0.21734E-01   0.21846E-01   0.17219E-01   0.60799E-01   0.24657E+00
   0.27000E+02   0.22842E-01   0.22960E-01   0.17857E-01   0.63659E-01   0.25231E+00
   0.28000E+02   0.23930E-01   0.24054E-01   0.18439E-01   0.66423E-01   0.25773E+00
   0.29000E+02   0.24997E-01   0.25126E-01   0.18962E-01   0.69085E-01   0.26284E+00
   0.30000E+02   0.26040E-01   0.26175E-01   0.19424E-01   0.71639E-01   0.26765E+00
   0.31000E+02   0.27059E-01   0.27200E-01   0.19821E-01   0.74080E-01   0.27218E+00
   0.32000E+02   0.28053E-01   0.28200E-01   0.20153E-01   0.76407E-01   0.27642E+00
   0.33000E+02   0.29023E-01   0.29176E-01   0.20419E-01   0.78618E-01   0.28039E+00
   0.34000E+02   0.29969E-01   0.30127E-01   0.20618E-01   0.80713E-01   0.28410E+00
   0.35000E+02   0.30891E-01   0.31054E-01   0.20750E-01   0.82695E-01   0.28757E+00
   0.36000E+02   0.31791E-01   0.31959E-01   0.20816E-01   0.84565E-01   0.29080E+00
   0.37000E+02   0.32669E-01   0.32842E-01   0.20818E-01   0.86328E-01   0.29382E+00
   0.38000E+02   0.33527E-01   0.33705E-01   0.20757E-01   0.87989E-01   0.29663E+00
   0.39000E+02   0.34368E-01   0.34550E-01   0.20636E-01   0.89554E-01   0.29926E+00
   0.40000E+02   0.35192E-01   0.35379E-01   0.20458E-01   0.91028E-01   0.30171E+00
   0.41000E+02   0.36001E-01   0.36193E-01   0.20226E-01   0.92420E-01   0.30401E+00
   0.42000E+02   0.36798E-01   0.36994E-01   0.19944E-01   0.93737E-01   0.30616E+00
   0.43000E+02   0.37584E-01   0.37785E-01   0.19617E-01   0.94986E-01   0.30820E+00
   0.44000E+02   0.38361E-01   0.38567E-01   0.19249E-01   0.96177E-01   0.31012E+00
   0.45000E+02   0.39131E-01   0.39341E-01   0.18844E-01   0.97317E-01   0.31196E+00
   0.46000E+02   0.39896E-01   0.40111E-01   0.18409E-01   0.98416E-01   0.31371E+00
   0.47000E+02   0.40657E-01   0.40876E-01   0.17948E-01   0.99481E-01   0.31541E+00
   0.48000E+02   0.41415E-01   0.41638E-01   0.17467E-01   0.10052E+00   0.31705E+00
   0.49000E+02   0.42172E-01   0.42399E-01   0.16971E-01   0.10154E+00   0.31866E+00
   0.50000E+02   0.42927E-01   0.43159E-01   0.16466E-01   0.10255E+00   0.32024E+00
   0.51000E+02   0.43683E-01   0.43919E-01   0.15957E-01   0.10356E+00   0.32181E+00
   0.52000E+02   0.44438E-01   0.44679E-01   0.15451E-01   0.10457E+00   0.32337E+00
   0.53000E+02   0.45193E-01   0.45439E-01   0.14953E-01   0.10558E+00   0.32494E+00
   0.54000E+02   0.45948E-01   0.46198E-01   0.14467E-01   0.10661E+00   0.32652E+00
   0.55000E+02   0.46702E-01   0.46956E-01   0.14000E-01   0.10766E+00   0.32811E+00
   0.56000E+02   0.47454E-01   0.47713E-01   0.13555E-01   0.10872E+00   0.32973E+00
   0.57000E+02   0.48203E-01   0.48466E-01   0.13138E-01   0.10981E+00   0.33137E+00
   0.58000E+02   0.48947E-01   0.49215E-01   0.12753E-01   0.11091E+00   0.33304E+00
   0.59000E+02   0.49685E-01   0.49958E-01   0.12403E-01   0.11205E+00   0.33473E+00
   0.60000E+02   0.50415E-01   0.50693E-01   0.12093E-01   0.11320E+00   0.33645E+00
   0.61000E+02   0.51135E-01   0.51417E-01   0.11824E-01   0.11438E+00   0.33820E+00
