    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00   0.32377E-13   0.27685E-13   0.61003E-14   0.85131E-14   0.92266E-07
   0.10000E+01   0.74345E-05   0.70574E-05   0.53179E-05   0.19810E-04   0.44508E-02
   0.20000E+01   0.29728E-04   0.28220E-04   0.21259E-04   0.79207E-04   0.88998E-02
   0.30000E+01   0.66852E-04   0.63458E-04   0.47785E-04   0.17809E-03   0.13345E-01
   0.40000E+01   0.11875E-03   0.11272E-03   0.84831E-04   0.31631E-03   0.17785E-01
   0.50000E+01   0.18537E-03   0.17594E-03   0.13231E-03   0.49362E-03   0.22217E-01
   0.60000E+01   0.26659E-03   0.25303E-03   0.19011E-03   0.70973E-03   0.26641E-01
   0.70000E+01   0.36233E-03   0.34388E-03   0.25808E-03   0.96429E-03   0.31053E-01
   0.80000E+01   0.47245E-03   0.44836E-03   0.33608E-03   0.12569E-02   0.35453E-01
   0.90000E+01   0.59681E-03   0.56634E-03   0.42391E-03   0.15871E-02   0.39838E-01
   0.10000E+02   0.73523E-03   0.69765E-03   0.52138E-03   0.19543E-02   0.44207E-01
   0.11000E+02   0.88755E-03   0.84211E-03   0.62826E-03   0.23579E-02   0.48558E-01
   0.12000E+02   0.10536E-02   0.99954E-03   0.74430E-03   0.27974E-02   0.52890E-01
   0.13000E+02   0.12331E-02   0.11697E-02   0.86925E-03   0.32720E-02   0.57202E-01
   0.14000E+02   0.14258E-02   0.13525E-02   0.10028E-02   0.37811E-02   0.61491E-01
   0.15000E+02   0.16316E-02   0.15475E-02   0.11448E-02   0.43239E-02   0.65756E-01
   0.16000E+02   0.18502E-02   0.17546E-02   0.12947E-02   0.48995E-02   0.69996E-01
   0.17000E+02   0.20812E-02   0.19735E-02   0.14524E-02   0.55072E-02   0.74211E-01
   0.18000E+02   0.23246E-02   0.22040E-02   0.16175E-02   0.61461E-02   0.78397E-01
   0.19000E+02   0.25799E-02   0.24458E-02   0.17897E-02   0.68153E-02   0.82555E-01
   0.20000E+02   0.28468E-02   0.26986E-02   0.19686E-02   0.75140E-02   0.86683E-01
   0.21000E+02   0.31252E-02   0.29621E-02   0.21538E-02   0.82412E-02   0.90781E-01
   0.22000E+02   0.34147E-02   0.32360E-02   0.23451E-02   0.89959E-02   0.94847E-01
   0.23000E+02   0.37149E-02   0.35201E-02   0.25421E-02   0.97772E-02   0.98880E-01
   0.24000E+02   0.40257E-02   0.38140E-02   0.27444E-02   0.10584E-01   0.10288E+00
   0.25000E+02   0.43466E-02   0.41175E-02   0.29517E-02   0.11416E-01   0.10684E+00
   0.26000E+02   0.46773E-02   0.44302E-02   0.31635E-02   0.12271E-01   0.11077E+00
   0.27000E+02   0.50176E-02   0.47518E-02   0.33796E-02   0.13149E-01   0.11467E+00
   0.28000E+02   0.53671E-02   0.50821E-02   0.35996E-02   0.14049E-01   0.11853E+00
   0.29000E+02   0.57255E-02   0.54206E-02   0.38232E-02   0.14969E-01   0.12235E+00
   0.30000E+02   0.60924E-02   0.57672E-02   0.40499E-02   0.15909E-01   0.12613E+00
   0.31000E+02   0.64676E-02   0.61214E-02   0.42795E-02   0.16868E-01   0.12988E+00
   0.32000E+02   0.68507E-02   0.64830E-02   0.45116E-02   0.17845E-01   0.13359E+00
   0.33000E+02   0.72413E-02   0.68517E-02   0.47459E-02   0.18839E-01   0.13725E+00
   0.34000E+02   0.76392E-02   0.72271E-02   0.49820E-02   0.19848E-01   0.14088E+00
   0.35000E+02   0.80441E-02   0.76089E-02   0.52197E-02   0.20873E-01   0.14447E+00
   0.36000E+02   0.84556E-02   0.79969E-02   0.54585E-02   0.21911E-01   0.14802E+00
   0.37000E+02   0.88733E-02   0.83908E-02   0.56983E-02   0.22962E-01   0.15153E+00
   0.38000E+02   0.92971E-02   0.87901E-02   0.59388E-02   0.24026E-01   0.15500E+00
   0.39000E+02   0.97265E-02   0.91947E-02   0.61795E-02   0.25101E-01   0.15843E+00
   0.40000E+02   0.10161E-01   0.96041E-02   0.64204E-02   0.26186E-01   0.16182E+00
   0.41000E+02   0.10601E-01   0.10018E-01   0.66609E-02   0.27280E-01   0.16517E+00
   0.42000E+02   0.11045E-01   0.10437E-01   0.69011E-02   0.28383E-01   0.16847E+00
   0.43000E+02   0.11494E-01   0.10859E-01   0.71404E-02   0.29494E-01   0.17174E+00
   0.44000E+02   0.11947E-01   0.11285E-01   0.73788E-02   0.30611E-01   0.17496E+00
   0.45000E+02   0.12404E-01   0.11715E-01   0.76159E-02   0.31734E-01   0.17814E+00
   0.46000E+02   0.12864E-01   0.12147E-01   0.78516E-02   0.32863E-01   0.18128E+00
   0.47000E+02   0.13327E-01   0.12583E-01   0.80856E-02   0.33995E-01   0.18438E+00
   0.48000E+02   0.13793E-01   0.13021E-01   0.83177E-02   0.35131E-01   0.18743E+00
   0.49000E+02   0.14261E-01   0.13461E-01   0.85477E-02   0.36270E-01   0.19045E+00
   0.50000E+02   0.14732E-01   0.13904E-01   0.87753E-02   0.37411E-01   0.19342E+00
   0.51000E+02   0.15205E-01   0.14348E-01   0.90005E-02   0.38553E-01   0.19635E+00
   0.52000E+02   0.15679E-01   0.14793E-01   0.92229E-02   0.39695E-01   0.19924E+00
   0.53000E+02   0.16155E-01   0.15239E-01   0.94425E-02   0.40837E-01   0.20208E+00
   0.54000E+02   0.16631E-01   0.15687E-01   0.96590E-02   0.41977E-01   0.20488E+00
   0.55000E+02   0.17109E-01   0.16135E-01   0.98724E-02   0.43116E-01   0.20764E+00
   0.56000E+02   0.17586E-01   0.16583E-01   0.10082E-01   0.44252E-01   0.21036E+00
   0.57000E+02   0.18064E-01   0.17031E-01   0.10289E-01   0.45384E-01   0.21304E+00
   0.58000E+02   0.18542E-01   0.17479E-01   0.10491E-01   0.46513E-01   0.21567E+00
   0.59000E+02   0.19020E-01   0.17927E-01   0.10690E-01   0.47637E-01   0.21826E+00
   0.60000E+02   0.19496E-01   0.18373E-01   0.10885E-01   0.48755E-01   0.22081E+00
   0.61000E+02   0.19972E-01   0.18819E-01   0.11076E-01   0.49867E-01   0.22331E+00
