    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00  -0.86967E-14   0.49240E-14   0.26400E-14   0.48027E-13   0.21915E-06
   0.10000E+01   0.35948E-04   0.35881E-04   0.33579E-04   0.10541E-03   0.10267E-01
   0.20000E+01   0.14352E-03   0.14325E-03   0.13402E-03   0.42078E-03   0.20513E-01
   0.30000E+01   0.32188E-03   0.32127E-03   0.30042E-03   0.94356E-03   0.30717E-01
   0.40000E+01   0.56967E-03   0.56858E-03   0.53129E-03   0.16695E-02   0.40860E-01
   0.50000E+01   0.88500E-03   0.88330E-03   0.82459E-03   0.25929E-02   0.50920E-01
   0.60000E+01   0.12655E-02   0.12630E-02   0.11777E-02   0.37062E-02   0.60879E-01
   0.70000E+01   0.17083E-02   0.17049E-02   0.15875E-02   0.50007E-02   0.70716E-01
   0.80000E+01   0.22102E-02   0.22057E-02   0.20504E-02   0.64663E-02   0.80413E-01
   0.90000E+01   0.27674E-02   0.27618E-02   0.25622E-02   0.80914E-02   0.89952E-01
   0.10000E+02   0.33761E-02   0.33691E-02   0.31186E-02   0.98638E-02   0.99317E-01
   0.11000E+02   0.40320E-02   0.40234E-02   0.37147E-02   0.11770E-01   0.10849E+00
   0.12000E+02   0.47305E-02   0.47202E-02   0.43454E-02   0.13796E-01   0.11746E+00
   0.13000E+02   0.54671E-02   0.54549E-02   0.50051E-02   0.15927E-01   0.12620E+00
   0.14000E+02   0.62370E-02   0.62227E-02   0.56884E-02   0.18148E-01   0.13471E+00
   0.15000E+02   0.70353E-02   0.70187E-02   0.63894E-02   0.20444E-01   0.14298E+00
   0.16000E+02   0.78573E-02   0.78383E-02   0.71024E-02   0.22798E-01   0.15099E+00
   0.17000E+02   0.86983E-02   0.86766E-02   0.78214E-02   0.25196E-01   0.15873E+00
   0.18000E+02   0.95535E-02   0.95289E-02   0.85405E-02   0.27623E-01   0.16620E+00
   0.19000E+02   0.10418E-01   0.10391E-01   0.92540E-02   0.30063E-01   0.17339E+00
   0.20000E+02   0.11289E-01   0.11258E-01   0.99562E-02   0.32503E-01   0.18029E+00
   0.21000E+02   0.12161E-01   0.12127E-01   0.10642E-01   0.34929E-01   0.18689E+00
   0.22000E+02   0.13031E-01   0.12993E-01   0.11305E-01   0.37329E-01   0.19321E+00
   0.23000E+02   0.13895E-01   0.13853E-01   0.11941E-01   0.39690E-01   0.19922E+00
   0.24000E+02   0.14750E-01   0.14705E-01   0.12546E-01   0.42001E-01   0.20494E+00
   0.25000E+02   0.15594E-01   0.15545E-01   0.13115E-01   0.44254E-01   0.21037E+00
   0.26000E+02   0.16424E-01   0.16371E-01   0.13644E-01   0.46438E-01   0.21550E+00
   0.27000E+02   0.17239E-01   0.17180E-01   0.14129E-01   0.48548E-01   0.22034E+00
   0.28000E+02   0.18035E-01   0.17973E-01   0.14568E-01   0.50576E-01   0.22489E+00
   0.29000E+02   0.18814E-01   0.18746E-01   0.14958E-01   0.52519E-01   0.22917E+00
   0.30000E+02   0.19573E-01   0.19501E-01   0.15297E-01   0.54371E-01   0.23318E+00
   0.31000E+02   0.20312E-01   0.20235E-01   0.15584E-01   0.56131E-01   0.23692E+00
   0.32000E+02   0.21031E-01   0.20949E-01   0.15817E-01   0.57797E-01   0.24041E+00
   0.33000E+02   0.21731E-01   0.21643E-01   0.15995E-01   0.59369E-01   0.24366E+00
   0.34000E+02   0.22411E-01   0.22319E-01   0.16120E-01   0.60849E-01   0.24668E+00
   0.35000E+02   0.23072E-01   0.22975E-01   0.16190E-01   0.62238E-01   0.24948E+00
   0.36000E+02   0.23717E-01   0.23614E-01   0.16208E-01   0.63539E-01   0.25207E+00
   0.37000E+02   0.24345E-01   0.24237E-01   0.16175E-01   0.64756E-01   0.25447E+00
   0.38000E+02   0.24958E-01   0.24845E-01   0.16092E-01   0.65894E-01   0.25670E+00
   0.39000E+02   0.25557E-01   0.25439E-01   0.15961E-01   0.66958E-01   0.25876E+00
   0.40000E+02   0.26145E-01   0.26022E-01   0.15787E-01   0.67954E-01   0.26068E+00
   0.41000E+02   0.26723E-01   0.26595E-01   0.15571E-01   0.68888E-01   0.26247E+00
   0.42000E+02   0.27292E-01   0.27159E-01   0.15317E-01   0.69767E-01   0.26413E+00
   0.43000E+02   0.27854E-01   0.27716E-01   0.15029E-01   0.70598E-01   0.26570E+00
   0.44000E+02   0.28410E-01   0.28267E-01   0.14710E-01   0.71388E-01   0.26718E+00
   0.45000E+02   0.28962E-01   0.28815E-01   0.14366E-01   0.72143E-01   0.26859E+00
   0.46000E+02   0.29511E-01   0.29359E-01   0.14001E-01   0.72871E-01   0.26995E+00
   0.47000E+02   0.30059E-01   0.29903E-01   0.13618E-01   0.73580E-01   0.27126E+00
   0.48000E+02   0.30606E-01   0.30445E-01   0.13223E-01   0.74274E-01   0.27253E+00
   0.49000E+02   0.31152E-01   0.30988E-01   0.12820E-01   0.74960E-01   0.27379E+00
   0.50000E+02   0.31699E-01   0.31531E-01   0.12415E-01   0.75645E-01   0.27504E+00
   0.51000E+02   0.32247E-01   0.32075E-01   0.12011E-01   0.76332E-01   0.27628E+00
   0.52000E+02   0.32795E-01   0.32619E-01   0.11613E-01   0.77027E-01   0.27754E+00
   0.53000E+02   0.33344E-01   0.33165E-01   0.11225E-01   0.77734E-01   0.27881E+00
   0.54000E+02   0.33892E-01   0.33710E-01   0.10853E-01   0.78455E-01   0.28010E+00
   0.55000E+02   0.34440E-01   0.34255E-01   0.10499E-01   0.79194E-01   0.28141E+00
   0.56000E+02   0.34986E-01   0.34798E-01   0.10168E-01   0.79952E-01   0.28276E+00
   0.57000E+02   0.35529E-01   0.35339E-01   0.98633E-02   0.80731E-01   0.28413E+00
   0.58000E+02   0.36068E-01   0.35875E-01   0.95879E-02   0.81531E-01   0.28554E+00
   0.59000E+02   0.36600E-01   0.36406E-01   0.93448E-02   0.82351E-01   0.28697E+00
   0.60000E+02   0.37126E-01   0.36929E-01   0.91367E-02   0.83191E-01   0.28843E+00
   0.61000E+02   0.37641E-01   0.37442E-01   0.89656E-02   0.84049E-01   0.28991E+00
   0.62000E+02   0.38145E-01   0.37945E-01   0.88336E-02   0.84924E-01   0.29142E+00
   0.63000E+02   0.38636E-01   0.38434E-01   0.87419E-02   0.85811E-01   0.29294E+00
   0.64000E+02   0.39111E-01   0.38907E-01   0.86916E-02   0.86709E-01   0.29446E+00
   0.65000E+02   0.39568E-01   0.39363E-01   0.86835E-02   0.87614E-01   0.29600E+00
   0.66000E+02   0.40005E-01   0.39799E-01   0.87178E-02   0.88521E-01   0.29752E+00
   0.67000E+02   0.40420E-01   0.40213E-01   0.87944E-02   0.89427E-01   0.29904E+00
   0.68000E+02   0.40811E-01   0.40603E-01   0.89128E-02   0.90326E-01   0.30054E+00
   0.69000E+02   0.41176E-01   0.40967E-01   0.90722E-02   0.91214E-01   0.30202E+00
   0.70000E+02   0.41513E-01   0.41303E-01   0.92714E-02   0.92087E-01   0.30346E+00
   0.71000E+02   0.41821E-01   0.41610E-01   0.95089E-02   0.92940E-01   0.30486E+00
   0.72000E+02   0.42098E-01   0.41887E-01   0.97827E-02   0.93767E-01   0.30621E+00
   0.73000E+02   0.42343E-01   0.42131E-01   0.10091E-01   0.94565E-01   0.30751E+00
   0.74000E+02   0.42555E-01   0.42342E-01   0.10431E-01   0.95328E-01   0.30875E+00
   0.75000E+02   0.42733E-01   0.42519E-01   0.10800E-01   0.96052E-01   0.30992E+00
   0.76000E+02   0.42876E-01   0.42662E-01   0.11196E-01   0.96734E-01   0.31102E+00
   0.77000E+02   0.42984E-01   0.42769E-01   0.11616E-01   0.97369E-01   0.31204E+00
   0.78000E+02   0.43057E-01   0.42842E-01   0.12055E-01   0.97954E-01   0.31298E+00
   0.79000E+02   0.43095E-01   0.42879E-01   0.12512E-01   0.98486E-01   0.31382E+00
   0.80000E+02   0.43098E-01   0.42882E-01   0.12982E-01   0.98961E-01   0.31458E+00
   0.81000E+02   0.43067E-01   0.42850E-01   0.13463E-01   0.99379E-01   0.31524E+00
   0.82000E+02   0.43002E-01   0.42785E-01   0.13950E-01   0.99737E-01   0.31581E+00
   0.83000E+02   0.42905E-01   0.42687E-01   0.14441E-01   0.10003E+00   0.31628E+00
   0.84000E+02   0.42776E-01   0.42558E-01   0.14931E-01   0.10027E+00   0.31665E+00
   0.85000E+02   0.42618E-01   0.42399E-01   0.15418E-01   0.10043E+00   0.31691E+00
   0.86000E+02   0.42431E-01   0.42211E-01   0.15898E-01   0.10054E+00   0.31708E+00
   0.87000E+02   0.42217E-01   0.41997E-01   0.16369E-01   0.10058E+00   0.31715E+00
   0.88000E+02   0.41978E-01   0.41757E-01   0.16826E-01   0.10056E+00   0.31711E+00
   0.89000E+02   0.41715E-01   0.41494E-01   0.17268E-01   0.10048E+00   0.31698E+00
   0.90000E+02   0.41431E-01   0.41209E-01   0.17691E-01   0.10033E+00   0.31675E+00
   0.91000E+02   0.41127E-01   0.40905E-01   0.18093E-01   0.10013E+00   0.31643E+00
   0.92000E+02   0.40806E-01   0.40583E-01   0.18472E-01   0.99861E-01   0.31601E+00
   0.93000E+02   0.40468E-01   0.40245E-01   0.18826E-01   0.99540E-01   0.31550E+00
   0.94000E+02   0.40117E-01   0.39894E-01   0.19152E-01   0.99163E-01   0.31490E+00
   0.95000E+02   0.39754E-01   0.39530E-01   0.19449E-01   0.98734E-01   0.31422E+00
   0.96000E+02   0.39381E-01   0.39157E-01   0.19717E-01   0.98255E-01   0.31346E+00
   0.97000E+02   0.39000E-01   0.38775E-01   0.19953E-01   0.97728E-01   0.31261E+00
   0.98000E+02   0.38612E-01   0.38386E-01   0.20158E-01   0.97155E-01   0.31170E+00
   0.99000E+02   0.38218E-01   0.37992E-01   0.20329E-01   0.96540E-01   0.31071E+00
   0.10000E+03   0.37821E-01   0.37595E-01   0.20469E-01   0.95884E-01   0.30965E+00
   0.10100E+03   0.37422E-01   0.37195E-01   0.20575E-01   0.95191E-01   0.30853E+00
   0.10200E+03   0.37021E-01   0.36794E-01   0.20649E-01   0.94464E-01   0.30735E+00
   0.10300E+03   0.36621E-01   0.36393E-01   0.20691E-01   0.93704E-01   0.30611E+00
   0.10400E+03   0.36221E-01   0.35993E-01   0.20701E-01   0.92915E-01   0.30482E+00
   0.10500E+03   0.35823E-01   0.35595E-01   0.20682E-01   0.92100E-01   0.30348E+00
   0.10600E+03   0.35428E-01   0.35199E-01   0.20633E-01   0.91260E-01   0.30209E+00
   0.10700E+03   0.35037E-01   0.34807E-01   0.20556E-01   0.90400E-01   0.30067E+00
