    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00   0.71054E-14   0.69389E-17   0.10408E-16  -0.42633E-13           NaN
   0.10000E+01   0.11945E-04   0.10983E-04   0.11752E-04   0.34680E-04   0.58889E-02
   0.20000E+01   0.47735E-04   0.43893E-04   0.46949E-04   0.13858E-03   0.11772E-01
   0.30000E+01   0.10724E-03   0.98608E-04   0.10542E-03   0.31127E-03   0.17643E-01
   0.40000E+01   0.19025E-03   0.17493E-03   0.18687E-03   0.55205E-03   0.23496E-01
   0.50000E+01   0.29647E-03   0.27259E-03   0.29090E-03   0.85997E-03   0.29325E-01
   0.60000E+01   0.42552E-03   0.39123E-03   0.41701E-03   0.12338E-02   0.35125E-01
   0.70000E+01   0.57695E-03   0.53044E-03   0.56458E-03   0.16720E-02   0.40890E-01
   0.80000E+01   0.75023E-03   0.68974E-03   0.73290E-03   0.21729E-02   0.46614E-01
   0.90000E+01   0.94476E-03   0.86857E-03   0.92117E-03   0.27345E-02   0.52292E-01
   0.10000E+02   0.11599E-02   0.10663E-02   0.11285E-02   0.33547E-02   0.57920E-01
   0.11000E+02   0.13949E-02   0.12824E-02   0.13539E-02   0.40312E-02   0.63492E-01
   0.12000E+02   0.16490E-02   0.15159E-02   0.15964E-02   0.47613E-02   0.69002E-01
   0.13000E+02   0.19213E-02   0.17663E-02   0.18549E-02   0.55426E-02   0.74448E-01
   0.14000E+02   0.22111E-02   0.20327E-02   0.21282E-02   0.63720E-02   0.79825E-01
   0.15000E+02   0.25173E-02   0.23143E-02   0.24151E-02   0.72467E-02   0.85128E-01
   0.16000E+02   0.28391E-02   0.26103E-02   0.27144E-02   0.81637E-02   0.90353E-01
   0.17000E+02   0.31754E-02   0.29196E-02   0.30249E-02   0.91199E-02   0.95498E-01
   0.18000E+02   0.35252E-02   0.32416E-02   0.33452E-02   0.10112E-01   0.10056E+00
   0.19000E+02   0.38876E-02   0.35752E-02   0.36742E-02   0.11137E-01   0.10553E+00
   0.20000E+02   0.42615E-02   0.39194E-02   0.40104E-02   0.12191E-01   0.11041E+00
   0.21000E+02   0.46459E-02   0.42735E-02   0.43527E-02   0.13272E-01   0.11520E+00
   0.22000E+02   0.50396E-02   0.46364E-02   0.46997E-02   0.14376E-01   0.11990E+00
   0.23000E+02   0.54417E-02   0.50073E-02   0.50502E-02   0.15499E-01   0.12450E+00
   0.24000E+02   0.58511E-02   0.53851E-02   0.54030E-02   0.16639E-01   0.12899E+00
   0.25000E+02   0.62667E-02   0.57690E-02   0.57568E-02   0.17793E-01   0.13339E+00
   0.26000E+02   0.66876E-02   0.61580E-02   0.61106E-02   0.18956E-01   0.13768E+00
   0.27000E+02   0.71126E-02   0.65513E-02   0.64631E-02   0.20127E-01   0.14187E+00
   0.28000E+02   0.75408E-02   0.69480E-02   0.68133E-02   0.21302E-01   0.14595E+00
   0.29000E+02   0.79712E-02   0.73472E-02   0.71602E-02   0.22479E-01   0.14993E+00
   0.30000E+02   0.84029E-02   0.77481E-02   0.75027E-02   0.23654E-01   0.15380E+00
   0.31000E+02   0.88348E-02   0.81498E-02   0.78399E-02   0.24825E-01   0.15756E+00
   0.32000E+02   0.92661E-02   0.85516E-02   0.81711E-02   0.25989E-01   0.16121E+00
   0.33000E+02   0.96959E-02   0.89526E-02   0.84952E-02   0.27144E-01   0.16475E+00
   0.34000E+02   0.10123E-01   0.93522E-02   0.88116E-02   0.28287E-01   0.16819E+00
   0.35000E+02   0.10548E-01   0.97496E-02   0.91197E-02   0.29417E-01   0.17151E+00
   0.36000E+02   0.10968E-01   0.10144E-01   0.94186E-02   0.30531E-01   0.17473E+00
   0.37000E+02   0.11383E-01   0.10535E-01   0.97080E-02   0.31626E-01   0.17784E+00
   0.38000E+02   0.11793E-01   0.10922E-01   0.99872E-02   0.32702E-01   0.18084E+00
   0.39000E+02   0.12197E-01   0.11304E-01   0.10256E-01   0.33757E-01   0.18373E+00
   0.40000E+02   0.12594E-01   0.11681E-01   0.10513E-01   0.34788E-01   0.18652E+00
   0.41000E+02   0.12984E-01   0.12051E-01   0.10760E-01   0.35795E-01   0.18920E+00
   0.42000E+02   0.13365E-01   0.12416E-01   0.10994E-01   0.36776E-01   0.19177E+00
   0.43000E+02   0.13739E-01   0.12773E-01   0.11217E-01   0.37729E-01   0.19424E+00
   0.44000E+02   0.14103E-01   0.13124E-01   0.11428E-01   0.38655E-01   0.19661E+00
   0.45000E+02   0.14457E-01   0.13466E-01   0.11627E-01   0.39551E-01   0.19887E+00
   0.46000E+02   0.14802E-01   0.13801E-01   0.11814E-01   0.40417E-01   0.20104E+00
   0.47000E+02   0.15137E-01   0.14127E-01   0.11988E-01   0.41252E-01   0.20310E+00
   0.48000E+02   0.15461E-01   0.14444E-01   0.12150E-01   0.42055E-01   0.20507E+00
   0.49000E+02   0.15774E-01   0.14752E-01   0.12300E-01   0.42827E-01   0.20695E+00
   0.50000E+02   0.16076E-01   0.15051E-01   0.12439E-01   0.43566E-01   0.20872E+00
   0.51000E+02   0.16366E-01   0.15341E-01   0.12565E-01   0.44272E-01   0.21041E+00
   0.52000E+02   0.16645E-01   0.15620E-01   0.12680E-01   0.44945E-01   0.21200E+00
   0.53000E+02   0.16912E-01   0.15890E-01   0.12784E-01   0.45586E-01   0.21351E+00
   0.54000E+02   0.17167E-01   0.16150E-01   0.12876E-01   0.46193E-01   0.21493E+00
   0.55000E+02   0.17411E-01   0.16400E-01   0.12958E-01   0.46768E-01   0.21626E+00
   0.56000E+02   0.17642E-01   0.16639E-01   0.13029E-01   0.47310E-01   0.21751E+00
   0.57000E+02   0.17861E-01   0.16868E-01   0.13090E-01   0.47820E-01   0.21868E+00
   0.58000E+02   0.18068E-01   0.17087E-01   0.13142E-01   0.48298E-01   0.21977E+00
   0.59000E+02   0.18264E-01   0.17296E-01   0.13184E-01   0.48744E-01   0.22078E+00
   0.60000E+02   0.18447E-01   0.17494E-01   0.13218E-01   0.49160E-01   0.22172E+00
   0.61000E+02   0.18619E-01   0.17683E-01   0.13243E-01   0.49545E-01   0.22259E+00
   0.62000E+02   0.18779E-01   0.17861E-01   0.13260E-01   0.49900E-01   0.22338E+00
   0.63000E+02   0.18928E-01   0.18029E-01   0.13271E-01   0.50227E-01   0.22411E+00
   0.64000E+02   0.19065E-01   0.18187E-01   0.13274E-01   0.50526E-01   0.22478E+00
   0.65000E+02   0.19191E-01   0.18336E-01   0.13271E-01   0.50798E-01   0.22539E+00
   0.66000E+02   0.19307E-01   0.18475E-01   0.13262E-01   0.51045E-01   0.22593E+00
   0.67000E+02   0.19412E-01   0.18605E-01   0.13249E-01   0.51266E-01   0.22642E+00
   0.68000E+02   0.19507E-01   0.18726E-01   0.13231E-01   0.51463E-01   0.22686E+00
   0.69000E+02   0.19591E-01   0.18838E-01   0.13208E-01   0.51638E-01   0.22724E+00
   0.70000E+02   0.19667E-01   0.18942E-01   0.13183E-01   0.51792E-01   0.22758E+00
   0.71000E+02   0.19733E-01   0.19037E-01   0.13155E-01   0.51925E-01   0.22787E+00
   0.72000E+02   0.19790E-01   0.19124E-01   0.13125E-01   0.52039E-01   0.22812E+00
   0.73000E+02   0.19839E-01   0.19204E-01   0.13094E-01   0.52136E-01   0.22833E+00
   0.74000E+02   0.19880E-01   0.19276E-01   0.13061E-01   0.52217E-01   0.22851E+00
   0.75000E+02   0.19913E-01   0.19342E-01   0.13029E-01   0.52284E-01   0.22866E+00
   0.76000E+02   0.19939E-01   0.19401E-01   0.12997E-01   0.52337E-01   0.22877E+00
   0.77000E+02   0.19958E-01   0.19454E-01   0.12966E-01   0.52378E-01   0.22886E+00
   0.78000E+02   0.19971E-01   0.19500E-01   0.12937E-01   0.52409E-01   0.22893E+00
   0.79000E+02   0.19978E-01   0.19542E-01   0.12910E-01   0.52431E-01   0.22898E+00
   0.80000E+02   0.19980E-01   0.19579E-01   0.12886E-01   0.52445E-01   0.22901E+00
   0.81000E+02   0.19977E-01   0.19611E-01   0.12866E-01   0.52454E-01   0.22903E+00
   0.82000E+02   0.19970E-01   0.19639E-01   0.12849E-01   0.52458E-01   0.22904E+00
   0.83000E+02   0.19959E-01   0.19663E-01   0.12837E-01   0.52459E-01   0.22904E+00
   0.84000E+02   0.19945E-01   0.19684E-01   0.12830E-01   0.52459E-01   0.22904E+00
   0.85000E+02   0.19928E-01   0.19701E-01   0.12829E-01   0.52458E-01   0.22904E+00
   0.86000E+02   0.19908E-01   0.19717E-01   0.12833E-01   0.52458E-01   0.22904E+00
   0.87000E+02   0.19887E-01   0.19730E-01   0.12844E-01   0.52461E-01   0.22904E+00
   0.88000E+02   0.19864E-01   0.19742E-01   0.12862E-01   0.52468E-01   0.22906E+00
   0.89000E+02   0.19840E-01   0.19752E-01   0.12887E-01   0.52479E-01   0.22908E+00
   0.90000E+02   0.19815E-01   0.19762E-01   0.12920E-01   0.52497E-01   0.22912E+00
   0.91000E+02   0.19791E-01   0.19771E-01   0.12960E-01   0.52522E-01   0.22918E+00
   0.92000E+02   0.19766E-01   0.19779E-01   0.13009E-01   0.52555E-01   0.22925E+00
   0.93000E+02   0.19743E-01   0.19788E-01   0.13065E-01   0.52597E-01   0.22934E+00
   0.94000E+02   0.19721E-01   0.19798E-01   0.13131E-01   0.52649E-01   0.22945E+00
   0.95000E+02   0.19700E-01   0.19808E-01   0.13205E-01   0.52713E-01   0.22959E+00
   0.96000E+02   0.19681E-01   0.19820E-01   0.13287E-01   0.52788E-01   0.22976E+00
   0.97000E+02   0.19664E-01   0.19833E-01   0.13379E-01   0.52876E-01   0.22995E+00
   0.98000E+02   0.19650E-01   0.19848E-01   0.13479E-01   0.52976E-01   0.23017E+00
   0.99000E+02   0.19639E-01   0.19864E-01   0.13588E-01   0.53091E-01   0.23041E+00
   0.10000E+03   0.19630E-01   0.19883E-01   0.13705E-01   0.53219E-01   0.23069E+00
   0.10100E+03   0.19626E-01   0.19905E-01   0.13831E-01   0.53361E-01   0.23100E+00
   0.10200E+03   0.19624E-01   0.19929E-01   0.13965E-01   0.53518E-01   0.23134E+00
   0.10300E+03   0.19627E-01   0.19955E-01   0.14107E-01   0.53689E-01   0.23171E+00
   0.10400E+03   0.19633E-01   0.19985E-01   0.14257E-01   0.53876E-01   0.23211E+00
   0.10500E+03   0.19644E-01   0.20018E-01   0.14415E-01   0.54076E-01   0.23254E+00
   0.10600E+03   0.19659E-01   0.20054E-01   0.14579E-01   0.54292E-01   0.23301E+00
   0.10700E+03   0.19678E-01   0.20093E-01   0.14751E-01   0.54522E-01   0.23350E+00
   0.10800E+03   0.19702E-01   0.20135E-01   0.14928E-01   0.54766E-01   0.23402E+00
   0.10900E+03   0.19731E-01   0.20181E-01   0.15112E-01   0.55023E-01   0.23457E+00
   0.11000E+03   0.19763E-01   0.20230E-01   0.15301E-01   0.55294E-01   0.23515E+00
   0.11100E+03   0.19801E-01   0.20283E-01   0.15494E-01   0.55578E-01   0.23575E+00
   0.11200E+03   0.19843E-01   0.20338E-01   0.15692E-01   0.55874E-01   0.23638E+00
   0.11300E+03   0.19889E-01   0.20398E-01   0.15894E-01   0.56181E-01   0.23703E+00
   0.11400E+03   0.19940E-01   0.20460E-01   0.16099E-01   0.56500E-01   0.23770E+00
