    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00  -0.58451E-14   0.11637E-14  -0.29935E-14   0.31580E-14   0.56196E-07
   0.10000E+01   0.24462E-04   0.23999E-04   0.71162E-05   0.55577E-04   0.74550E-02
   0.20000E+01   0.97783E-04   0.95950E-04   0.28421E-04   0.22215E-03   0.14905E-01
   0.30000E+01   0.21971E-03   0.21564E-03   0.63762E-04   0.49912E-03   0.22341E-01
   0.40000E+01   0.38981E-03   0.38268E-03   0.11288E-03   0.88536E-03   0.29755E-01
   0.50000E+01   0.60743E-03   0.59646E-03   0.17540E-03   0.13793E-02   0.37139E-01
   0.60000E+01   0.87174E-03   0.85623E-03   0.25085E-03   0.19788E-02   0.44484E-01
   0.70000E+01   0.11818E-02   0.11610E-02   0.33865E-03   0.26814E-02   0.51783E-01
   0.80000E+01   0.15363E-02   0.15098E-02   0.43813E-03   0.34843E-02   0.59028E-01
   0.90000E+01   0.19341E-02   0.19013E-02   0.54855E-03   0.43839E-02   0.66211E-01
   0.10000E+02   0.23737E-02   0.23341E-02   0.66907E-03   0.53768E-02   0.73327E-01
   0.11000E+02   0.28535E-02   0.28068E-02   0.79881E-03   0.64590E-02   0.80368E-01
   0.12000E+02   0.33718E-02   0.33177E-02   0.93680E-03   0.76263E-02   0.87328E-01
   0.13000E+02   0.39269E-02   0.38651E-02   0.10821E-02   0.88741E-02   0.94203E-01
   0.14000E+02   0.45171E-02   0.44474E-02   0.12335E-02   0.10198E-01   0.10099E+00
   0.15000E+02   0.51403E-02   0.50628E-02   0.13902E-02   0.11593E-01   0.10767E+00
   0.16000E+02   0.57947E-02   0.57093E-02   0.15510E-02   0.13055E-01   0.11426E+00
   0.17000E+02   0.64783E-02   0.63852E-02   0.17148E-02   0.14578E-01   0.12074E+00
   0.18000E+02   0.71893E-02   0.70886E-02   0.18806E-02   0.16158E-01   0.12712E+00
   0.19000E+02   0.79257E-02   0.78176E-02   0.20473E-02   0.17791E-01   0.13338E+00
   0.20000E+02   0.86856E-02   0.85705E-02   0.22139E-02   0.19470E-01   0.13953E+00
   0.21000E+02   0.94672E-02   0.93454E-02   0.23795E-02   0.21192E-01   0.14558E+00
   0.22000E+02   0.10269E-01   0.10141E-01   0.25431E-02   0.22952E-01   0.15150E+00
   0.23000E+02   0.11088E-01   0.10955E-01   0.27038E-02   0.24747E-01   0.15731E+00
   0.24000E+02   0.11924E-01   0.11786E-01   0.28609E-02   0.26571E-01   0.16301E+00
   0.25000E+02   0.12776E-01   0.12633E-01   0.30136E-02   0.28422E-01   0.16859E+00
   0.26000E+02   0.13640E-01   0.13494E-01   0.31613E-02   0.30295E-01   0.17405E+00
   0.27000E+02   0.14517E-01   0.14367E-01   0.33033E-02   0.32187E-01   0.17941E+00
   0.28000E+02   0.15404E-01   0.15253E-01   0.34391E-02   0.34096E-01   0.18465E+00
   0.29000E+02   0.16301E-01   0.16149E-01   0.35684E-02   0.36019E-01   0.18979E+00
   0.30000E+02   0.17206E-01   0.17055E-01   0.36908E-02   0.37952E-01   0.19481E+00
   0.31000E+02   0.18119E-01   0.17969E-01   0.38060E-02   0.39895E-01   0.19974E+00
   0.32000E+02   0.19039E-01   0.18892E-01   0.39138E-02   0.41845E-01   0.20456E+00
   0.33000E+02   0.19965E-01   0.19821E-01   0.40143E-02   0.43800E-01   0.20929E+00
   0.34000E+02   0.20896E-01   0.20757E-01   0.41074E-02   0.45760E-01   0.21392E+00
   0.35000E+02   0.21831E-01   0.21699E-01   0.41931E-02   0.47724E-01   0.21846E+00
   0.36000E+02   0.22771E-01   0.22647E-01   0.42716E-02   0.49690E-01   0.22291E+00
   0.37000E+02   0.23715E-01   0.23600E-01   0.43432E-02   0.51658E-01   0.22728E+00
