    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00  -0.71386E-14  -0.37059E-14  -0.49343E-14  -0.20922E-13           NaN
   0.10000E+01   0.16454E-04   0.15916E-04   0.10258E-05   0.33396E-04   0.57790E-02
   0.20000E+01   0.65877E-04   0.63703E-04   0.40941E-05   0.13367E-03   0.11562E-01
   0.30000E+01   0.14834E-03   0.14340E-03   0.91884E-05   0.30092E-03   0.17347E-01
   0.40000E+01   0.26387E-03   0.25502E-03   0.16289E-04   0.53518E-03   0.23134E-01
   0.50000E+01   0.41249E-03   0.39856E-03   0.25373E-04   0.83643E-03   0.28921E-01
   0.60000E+01   0.59418E-03   0.57399E-03   0.36414E-04   0.12046E-02   0.34707E-01
   0.70000E+01   0.80890E-03   0.78125E-03   0.49384E-04   0.16395E-02   0.40491E-01
   0.80000E+01   0.10566E-02   0.10203E-02   0.64251E-04   0.21411E-02   0.46272E-01
   0.90000E+01   0.13371E-02   0.12909E-02   0.80981E-04   0.27090E-02   0.52048E-01
   0.10000E+02   0.16503E-02   0.15931E-02   0.99537E-04   0.33430E-02   0.57819E-01
   0.11000E+02   0.19961E-02   0.19268E-02   0.11988E-03   0.40428E-02   0.63583E-01
   0.12000E+02   0.23743E-02   0.22916E-02   0.14197E-03   0.48079E-02   0.69339E-01
   0.13000E+02   0.27847E-02   0.26875E-02   0.16576E-03   0.56380E-02   0.75087E-01
   0.14000E+02   0.32271E-02   0.31143E-02   0.19121E-03   0.65326E-02   0.80824E-01
   0.15000E+02   0.37011E-02   0.35717E-02   0.21827E-03   0.74911E-02   0.86551E-01
   0.16000E+02   0.42067E-02   0.40596E-02   0.24690E-03   0.85131E-02   0.92267E-01
   0.17000E+02   0.47434E-02   0.45776E-02   0.27704E-03   0.95980E-02   0.97969E-01
   0.18000E+02   0.53109E-02   0.51255E-02   0.30864E-03   0.10745E-01   0.10366E+00
   0.19000E+02   0.59090E-02   0.57031E-02   0.34166E-03   0.11954E-01   0.10933E+00
   0.20000E+02   0.65373E-02   0.63100E-02   0.37603E-03   0.13223E-01   0.11499E+00
   0.21000E+02   0.71954E-02   0.69460E-02   0.41171E-03   0.14553E-01   0.12064E+00
   0.22000E+02   0.78829E-02   0.76107E-02   0.44864E-03   0.15942E-01   0.12626E+00
   0.23000E+02   0.85996E-02   0.83039E-02   0.48677E-03   0.17390E-01   0.13187E+00
   0.24000E+02   0.93449E-02   0.90251E-02   0.52604E-03   0.18896E-01   0.13746E+00
   0.25000E+02   0.10118E-01   0.97742E-02   0.56640E-03   0.20459E-01   0.14304E+00
   0.26000E+02   0.10920E-01   0.10551E-01   0.60779E-03   0.22078E-01   0.14859E+00
   0.27000E+02   0.11749E-01   0.11354E-01   0.65015E-03   0.23753E-01   0.15412E+00
   0.28000E+02   0.12605E-01   0.12185E-01   0.69344E-03   0.25483E-01   0.15963E+00
   0.29000E+02   0.13487E-01   0.13041E-01   0.73759E-03   0.27266E-01   0.16512E+00
   0.30000E+02   0.14396E-01   0.13924E-01   0.78254E-03   0.29102E-01   0.17059E+00
   0.31000E+02   0.15330E-01   0.14833E-01   0.82825E-03   0.30991E-01   0.17604E+00
   0.32000E+02   0.16289E-01   0.15766E-01   0.87465E-03   0.32930E-01   0.18147E+00
   0.33000E+02   0.17274E-01   0.16725E-01   0.92170E-03   0.34920E-01   0.18687E+00
   0.34000E+02   0.18282E-01   0.17708E-01   0.96933E-03   0.36960E-01   0.19225E+00
   0.35000E+02   0.19315E-01   0.18716E-01   0.10175E-02   0.39048E-01   0.19761E+00
   0.36000E+02   0.20370E-01   0.19747E-01   0.10661E-02   0.41184E-01   0.20294E+00
   0.37000E+02   0.21449E-01   0.20802E-01   0.11152E-02   0.43366E-01   0.20825E+00
   0.38000E+02   0.22550E-01   0.21880E-01   0.11647E-02   0.45595E-01   0.21353E+00
   0.39000E+02   0.23674E-01   0.22981E-01   0.12144E-02   0.47869E-01   0.21879E+00
   0.40000E+02   0.24818E-01   0.24104E-01   0.12644E-02   0.50187E-01   0.22402E+00
   0.41000E+02   0.25984E-01   0.25249E-01   0.13147E-02   0.52548E-01   0.22923E+00
   0.42000E+02   0.27171E-01   0.26416E-01   0.13651E-02   0.54952E-01   0.23442E+00
   0.43000E+02   0.28378E-01   0.27604E-01   0.14156E-02   0.57397E-01   0.23958E+00
   0.44000E+02   0.29605E-01   0.28813E-01   0.14662E-02   0.59884E-01   0.24471E+00
   0.45000E+02   0.30851E-01   0.30042E-01   0.15168E-02   0.62410E-01   0.24982E+00
   0.46000E+02   0.32117E-01   0.31292E-01   0.15674E-02   0.64976E-01   0.25490E+00
   0.47000E+02   0.33400E-01   0.32562E-01   0.16179E-02   0.67580E-01   0.25996E+00
   0.48000E+02   0.34702E-01   0.33852E-01   0.16682E-02   0.70222E-01   0.26499E+00
   0.49000E+02   0.36022E-01   0.35160E-01   0.17184E-02   0.72901E-01   0.27000E+00
   0.50000E+02   0.37359E-01   0.36488E-01   0.17684E-02   0.75615E-01   0.27498E+00
   0.51000E+02   0.38713E-01   0.37834E-01   0.18181E-02   0.78365E-01   0.27994E+00
   0.52000E+02   0.40084E-01   0.39198E-01   0.18675E-02   0.81150E-01   0.28487E+00
   0.53000E+02   0.41471E-01   0.40581E-01   0.19165E-02   0.83968E-01   0.28977E+00
   0.54000E+02   0.42874E-01   0.41981E-01   0.19651E-02   0.86819E-01   0.29465E+00
   0.55000E+02   0.44292E-01   0.43398E-01   0.20133E-02   0.89703E-01   0.29950E+00
   0.56000E+02   0.45725E-01   0.44832E-01   0.20610E-02   0.92618E-01   0.30433E+00
   0.57000E+02   0.47173E-01   0.46283E-01   0.21082E-02   0.95565E-01   0.30914E+00
   0.58000E+02   0.48636E-01   0.47751E-01   0.21548E-02   0.98541E-01   0.31391E+00
   0.59000E+02   0.50112E-01   0.49234E-01   0.22008E-02   0.10155E+00   0.31867E+00
   0.60000E+02   0.51603E-01   0.50734E-01   0.22462E-02   0.10458E+00   0.32339E+00
   0.61000E+02   0.53106E-01   0.52249E-01   0.22908E-02   0.10765E+00   0.32809E+00
   0.62000E+02   0.54623E-01   0.53779E-01   0.23348E-02   0.11074E+00   0.33277E+00
   0.63000E+02   0.56153E-01   0.55325E-01   0.23780E-02   0.11386E+00   0.33743E+00
   0.64000E+02   0.57695E-01   0.56885E-01   0.24204E-02   0.11700E+00   0.34205E+00
   0.65000E+02   0.59250E-01   0.58460E-01   0.24620E-02   0.12017E+00   0.34666E+00
   0.66000E+02   0.60816E-01   0.60049E-01   0.25028E-02   0.12337E+00   0.35124E+00
   0.67000E+02   0.62394E-01   0.61652E-01   0.25426E-02   0.12659E+00   0.35579E+00
   0.68000E+02   0.63983E-01   0.63269E-01   0.25816E-02   0.12983E+00   0.36032E+00
   0.69000E+02   0.65583E-01   0.64899E-01   0.26197E-02   0.13310E+00   0.36483E+00
   0.70000E+02   0.67195E-01   0.66543E-01   0.26567E-02   0.13639E+00   0.36932E+00
   0.71000E+02   0.68816E-01   0.68201E-01   0.26928E-02   0.13971E+00   0.37378E+00
   0.72000E+02   0.70448E-01   0.69871E-01   0.27280E-02   0.14305E+00   0.37822E+00
   0.73000E+02   0.72090E-01   0.71554E-01   0.27621E-02   0.14641E+00   0.38263E+00
   0.74000E+02   0.73742E-01   0.73249E-01   0.27951E-02   0.14979E+00   0.38702E+00
   0.75000E+02   0.75404E-01   0.74957E-01   0.28272E-02   0.15319E+00   0.39139E+00
   0.76000E+02   0.77074E-01   0.76677E-01   0.28582E-02   0.15661E+00   0.39574E+00
   0.77000E+02   0.78754E-01   0.78409E-01   0.28881E-02   0.16005E+00   0.40006E+00
   0.78000E+02   0.80443E-01   0.80153E-01   0.29169E-02   0.16351E+00   0.40437E+00
   0.79000E+02   0.82140E-01   0.81909E-01   0.29447E-02   0.16699E+00   0.40865E+00
   0.80000E+02   0.83846E-01   0.83676E-01   0.29714E-02   0.17049E+00   0.41291E+00
   0.81000E+02   0.85561E-01   0.85454E-01   0.29970E-02   0.17401E+00   0.41715E+00
   0.82000E+02   0.87283E-01   0.87244E-01   0.30215E-02   0.17755E+00   0.42136E+00
   0.83000E+02   0.89013E-01   0.89045E-01   0.30450E-02   0.18110E+00   0.42556E+00
   0.84000E+02   0.90751E-01   0.90856E-01   0.30674E-02   0.18467E+00   0.42974E+00
   0.85000E+02   0.92496E-01   0.92679E-01   0.30887E-02   0.18826E+00   0.43389E+00
   0.86000E+02   0.94249E-01   0.94512E-01   0.31090E-02   0.19187E+00   0.43803E+00
   0.87000E+02   0.96008E-01   0.96356E-01   0.31282E-02   0.19549E+00   0.44214E+00
   0.88000E+02   0.97775E-01   0.98209E-01   0.31464E-02   0.19913E+00   0.44624E+00
   0.89000E+02   0.99549E-01   0.10007E+00   0.31635E-02   0.20279E+00   0.45032E+00
   0.90000E+02   0.10133E+00   0.10195E+00   0.31797E-02   0.20646E+00   0.45437E+00
   0.91000E+02   0.10312E+00   0.10383E+00   0.31949E-02   0.21014E+00   0.45841E+00
   0.92000E+02   0.10491E+00   0.10573E+00   0.32091E-02   0.21384E+00   0.46243E+00
   0.93000E+02   0.10671E+00   0.10763E+00   0.32223E-02   0.21756E+00   0.46643E+00
   0.94000E+02   0.10851E+00   0.10954E+00   0.32347E-02   0.22129E+00   0.47041E+00
   0.95000E+02   0.11032E+00   0.11147E+00   0.32461E-02   0.22504E+00   0.47438E+00
   0.96000E+02   0.11214E+00   0.11340E+00   0.32566E-02   0.22879E+00   0.47832E+00
   0.97000E+02   0.11396E+00   0.11534E+00   0.32663E-02   0.23257E+00   0.48225E+00
   0.98000E+02   0.11579E+00   0.11729E+00   0.32751E-02   0.23635E+00   0.48616E+00
   0.99000E+02   0.11762E+00   0.11925E+00   0.32831E-02   0.24016E+00   0.49006E+00
   0.10000E+03   0.11946E+00   0.12122E+00   0.32904E-02   0.24397E+00   0.49393E+00
