    #Time(fs)    x-MSD(A^2)    y-MSD(A^2)    z-MSD(A^2)    tot-MSD(A^2)  sqrt(MSD)(A)
   0.00000E+00  -0.35527E-14  -0.11369E-12   0.00000E+00  -0.56843E-13           NaN
   0.10000E+01   0.33061E-04   0.46724E-04   0.25143E-06   0.80037E-04   0.89463E-02
   0.20000E+01   0.13210E-03   0.18704E-03   0.10033E-05   0.32014E-03   0.17892E-01
   0.30000E+01   0.29682E-03   0.42099E-03   0.22509E-05   0.72006E-03   0.26834E-01
   0.40000E+01   0.52682E-03   0.74846E-03   0.39877E-05   0.12793E-02   0.35767E-01
   0.50000E+01   0.82163E-03   0.11691E-02   0.62056E-05   0.19969E-02   0.44687E-01
   0.60000E+01   0.11807E-02   0.16824E-02   0.88951E-05   0.28719E-02   0.53590E-01
   0.70000E+01   0.16033E-02   0.22876E-02   0.12045E-04   0.39029E-02   0.62473E-01
   0.80000E+01   0.20887E-02   0.29838E-02   0.15643E-04   0.50881E-02   0.71331E-01
   0.90000E+01   0.26361E-02   0.37700E-02   0.19676E-04   0.64258E-02   0.80161E-01
   0.10000E+02   0.32447E-02   0.46451E-02   0.24128E-04   0.79139E-02   0.88960E-01
   0.11000E+02   0.39136E-02   0.56075E-02   0.28984E-04   0.95501E-02   0.97725E-01
   0.12000E+02   0.46418E-02   0.66560E-02   0.34228E-04   0.11332E-01   0.10645E+00
   0.13000E+02   0.54283E-02   0.77889E-02   0.39842E-04   0.13257E-01   0.11514E+00
   0.14000E+02   0.62722E-02   0.90044E-02   0.45809E-04   0.15322E-01   0.12378E+00
   0.15000E+02   0.71725E-02   0.10301E-01   0.52110E-04   0.17526E-01   0.13238E+00
   0.16000E+02   0.81283E-02   0.11677E-01   0.58727E-04   0.19864E-01   0.14094E+00
   0.17000E+02   0.91387E-02   0.13129E-01   0.65641E-04   0.22334E-01   0.14944E+00
   0.18000E+02   0.10203E-01   0.14657E-01   0.72834E-04   0.24933E-01   0.15790E+00
   0.19000E+02   0.11320E-01   0.16258E-01   0.80289E-04   0.27658E-01   0.16631E+00
   0.20000E+02   0.12489E-01   0.17930E-01   0.87988E-04   0.30507E-01   0.17466E+00
   0.21000E+02   0.13709E-01   0.19672E-01   0.95915E-04   0.33476E-01   0.18297E+00
   0.22000E+02   0.14980E-01   0.21480E-01   0.10406E-03   0.36564E-01   0.19122E+00
